	2023	2022	2021	2020	2019	2018	2017	2016	2015	2014	2013	2012	2011	2010	2009	2008
0	51325329	51632473	51825932	51847509	51826287	51779148	51704332	51541582	51342881	51156168	50965180	50750837	50534731	49810609	49552045	49297732
11000	9386034	9505926	9657969	9733509	9766288	9851767	9930478	10018537	10104515	10143164	10195064	10250134	10312835	10213153	10207304	10201656
26000	3293362	3348874	3389388	3411819	3438259	3467055	3496779	3513361	3517898	3526648	3538191	3549501	3566560	3542631	3562642	3587154
27000	2374960	2383858	2415813	2436488	2460382	2474309	2484688	2487823	2492658	2501823	2504945	2508370	2512071	2491683	2493192	2494690
28000	2997410	2949150	2942452	2956119	2955916	2950771	2944009	2927195	2904876	2882047	2846899	2804287	2761122	2714309	2693123	2668424
29000	1419237	1441636	1449115	1456688	1459832	1464037	1469583	1472802	1476891	1473529	1470061	1465313	1456308	1435300	1423519	1414877
30000	1442216	1451272	1463291	1474152	1488725	1501378	1514354	1518024	1531287	1533497	1525888	1517299	1504617	1484849	1481516	1476476
31000	1103661	1121100	1135370	1147037	1154786	1164489	1171656	1173568	1167232	1157199	1148130	1136464	1127337	1115625	1112579	1101448
36000	386525	374377	357871	342328	316814	283198	244939	215418	161716	123802	113911					
41000	13630821	13571450	13449499	13250368	13090648	12890445	12728620	12536474	12366711	12245960	12107216	11948596	11801232	11484241	11300278	11122132
42000	1593469	1538660	1541696	1540540	1541693	1548078	1549212	1549193	1543640	1540745	1537704	1535335	1528790	1512088	1507799	1503425
43000	2130119	1597097	1599658	1599391	1599155	1593903	1591674	1583982	1578531	1572779	1565670	1563023	1550474	1527943	1519648	1507292
44000	1754757	2118638	2119837	2122455	2125797	2117685	2097406	2078572	2063050	2048438	2029769	2103129	2076239	2039247	2019111	1997954
45000	1804217	1785392	1802748	1817302	1834532	1851694	1863298	1868354	1871018	1872297	1872500	1873491	1868745	1854293	1855171	1858895
46000	2554324	1832604	1850575	1864712	1878904	1893444	1902380	1906904	1904220	1906363	1907945	1912725	1916912	1911991	1918310	1928244
47000	3251158	2624310	2637639	2662508	2674005	2688747	2698803	2701160	2699275	2698306	2698263	2697104	2688586	2668403	2672528	2679640
48000	675252	3311438	3338396	3361344	3373214	3379981	3374065	3364764	3351038	3334948	3318979	3309559	3291435	3252083	3224676	3196607
50000	1527807	676691	674615	670749	667337	658167	642388	625451	608325	594623	584045	576507	571468	562770	560649	558818
